"CubeId";"zimoma"
"PublishingDate";"2023-10-02 14:30"

"Date";"D0";"Value"
"1980-05";"1TGT";"0.125"
"1980-05";"EG3M";
"1980-06";"SARON";
"1980-06";"1TGT";"1.375"
"1980-06";"EG3M";
"1980-07";"SARON";
"1980-07";"1TGT";"2.875"
"1980-07";"EG3M";
"1980-08";"SARON";
"1980-08";"1TGT";"2.25"
"1980-08";"EG3M";
"1980-09";"SARON";
"1980-09";"1TGT";"0"
"1980-09";"EG3M";
"1980-10";"SARON";
"1980-10";"1TGT";"2.5"
"1980-10";"EG3M";
"1980-11";"SARON";
"1980-11";"1TGT";"1"
"1980-11";"EG3M";
"1980-12";"SARON";
"1980-12";"1TGT";"0"
"1980-12";"EG3M";
"1981-01";"SARON";
"1981-01";"1TGT";"0.625"
"1981-01";"EG3M";
"1981-02";"SARON";
"1981-02";"1TGT";"6.75"
"1981-02";"EG3M";
"1981-03";"SARON";
"1981-03";"1TGT";"1"
"1981-03";"EG3M";
"1981-04";"SARON";
"1981-04";"1TGT";"5.375"
"1981-04";"EG3M";
"1981-05";"SARON";
"1981-05";"1TGT";"0.3125"
"1981-05";"EG3M";
"1981-06";"SARON";
"1981-06";"1TGT";"1.875"
"1981-06";"EG3M";
"1981-07";"SARON";
"1981-07";"1TGT";"0.625"
"1981-07";"EG3M";
"1981-08";"SARON";
"1981-08";"1TGT";"0.5"
"1981-08";"EG3M";
"1981-09";"SARON";
"1981-09";"1TGT";"3.5"
"1981-09";"EG3M";
"1981-10";"SARON";
"1981-10";"1TGT";"3.1875"
"1981-10";"EG3M";
"1981-11";"SARON";
"1981-11";"1TGT";"2.0625"
"1981-11";"EG3M";
"1981-12";"SARON";
"1981-12";"1TGT";"4.75"
"1981-12";"EG3M";
"1982-01";"SARON";
"1982-01";"1TGT";"3.1875"
"1982-01";"EG3M";
"1982-02";"SARON";
"1982-02";"1TGT";"4.5"
"1982-02";"EG3M";
"1982-03";"SARON";
"1982-03";"1TGT";"0.25"
"1982-03";"EG3M";
"1982-04";"SARON";
"1982-04";"1TGT";"1.875"
"1982-04";"EG3M";
"1982-05";"SARON";
"1982-05";"1TGT";"0.25"
"1982-05";"EG3M";
"1982-06";"SARON";
"1982-06";"1TGT";"0"
"1982-06";"EG3M";
"1982-07";"SARON";
"1982-07";"1TGT";"0.5625"
"1982-07";"EG3M";
"1982-08";"SARON";
"1982-08";"1TGT";"0"
"1982-08";"EG3M";
"1982-09";"SARON";
"1982-09";"1TGT";"0.75"
"1982-09";"EG3M";
"1982-10";"SARON";
"1982-10";"1TGT";"1"
"1982-10";"EG3M";
"1982-11";"SARON";
"1982-11";"1TGT";"1.125"
"1982-11";"EG3M";
"1982-12";"SARON";
"1982-12";"1TGT";"0"
"1982-12";"EG3M";
"1983-01";"SARON";
"1983-01";"1TGT";"1.5"
"1983-01";"EG3M";
"1983-02";"SARON";
"1983-02";"1TGT";"0.6875"
"1983-02";"EG3M";
"1983-03";"SARON";
"1983-03";"1TGT";"3.0625"
"1983-03";"EG3M";
"1983-04";"SARON";
"1983-04";"1TGT";"0.125"
"1983-04";"EG3M";
"1983-05";"SARON";
"1983-05";"1TGT";"2.6875"
"1983-05";"EG3M";
"1983-06";"SARON";
"1983-06";"1TGT";"2.1875"
"1983-06";"EG3M";
"1983-07";"SARON";
"1983-07";"1TGT";"2.625"
"1983-07";"EG3M";
"1983-08";"SARON";
"1983-08";"1TGT";"1.375"
"1983-08";"EG3M";
"1983-09";"SARON";
"1983-09";"1TGT";"0.375"
"1983-09";"EG3M";
"1983-10";"SARON";
"1983-10";"1TGT";"0.25"
"1983-10";"EG3M";
"1983-11";"SARON";
"1983-11";"1TGT";"0.5"
"1983-11";"EG3M";
"1983-12";"SARON";
"1983-12";"1TGT";"0.9375"
"1983-12";"EG3M";
"1984-01";"SARON";
"1984-01";"1TGT";"0.875"
"1984-01";"EG3M";
"1984-02";"SARON";
"1984-02";"1TGT";"0.9375"
"1984-02";"EG3M";
"1984-03";"SARON";
"1984-03";"1TGT";"0.9375"
"1984-03";"EG3M";
"1984-04";"SARON";
"1984-04";"1TGT";"2.75"
"1984-04";"EG3M";
"1984-05";"SARON";
"1984-05";"1TGT";"0.875"
"1984-05";"EG3M";
"1984-06";"SARON";
"1984-06";"1TGT";"0.5"
"1984-06";"EG3M";
"1984-07";"SARON";
"1984-07";"1TGT";"1.9375"
"1984-07";"EG3M";
"1984-08";"SARON";
"1984-08";"1TGT";"0.8125"
"1984-08";"EG3M";
"1984-09";"SARON";
"1984-09";"1TGT";"0.5625"
"1984-09";"EG3M";
"1984-10";"SARON";
"1984-10";"1TGT";"1.5"
"1984-10";"EG3M";
"1984-11";"SARON";
"1984-11";"1TGT";"0.5"
"1984-11";"EG3M";
"1984-12";"SARON";
"1984-12";"1TGT";"6.625"
"1984-12";"EG3M";
"1985-01";"SARON";
"1985-01";"1TGT";"1.1875"
"1985-01";"EG3M";
"1985-02";"SARON";
"1985-02";"1TGT";"1.625"
"1985-02";"EG3M";
"1985-03";"SARON";
"1985-03";"1TGT";"0"
"1985-03";"EG3M";
"1985-04";"SARON";
"1985-04";"1TGT";"0.6875"
"1985-04";"EG3M";
"1985-05";"SARON";
"1985-05";"1TGT";"0.75"
"1985-05";"EG3M";
"1985-06";"SARON";
"1985-06";"1TGT";"1"
"1985-06";"EG3M";
"1985-07";"SARON";
"1985-07";"1TGT";"0.6875"
"1985-07";"EG3M";
"1985-08";"SARON";
"1985-08";"1TGT";"0.75"
"1985-08";"EG3M";
"1985-09";"SARON";
"1985-09";"1TGT";"0.0625"
"1985-09";"EG3M";
"1985-10";"SARON";
"1985-10";"1TGT";"0"
"1985-10";"EG3M";
"1985-11";"SARON";
"1985-11";"1TGT";"0.6875"
"1985-11";"EG3M";
"1985-12";"SARON";
"1985-12";"1TGT";"1.25"
"1985-12";"EG3M";
"1986-01";"SARON";
"1986-01";"1TGT";"0.75"
"1986-01";"EG3M";
"1986-02";"SARON";
"1986-02";"1TGT";"2.125"
"1986-02";"EG3M";
"1986-03";"SARON";
"1986-03";"1TGT";"1.8125"
"1986-03";"EG3M";
"1986-04";"SARON";
"1986-04";"1TGT";"1"
"1986-04";"EG3M";
"1986-05";"SARON";
"1986-05";"1TGT";"0.8125"
"1986-05";"EG3M";
"1986-06";"SARON";
"1986-06";"1TGT";"0.9375"
"1986-06";"EG3M";
"1986-07";"SARON";
"1986-07";"1TGT";"0.75"
"1986-07";"EG3M";
"1986-08";"SARON";
"1986-08";"1TGT";"1.5625"
"1986-08";"EG3M";
"1986-09";"SARON";
"1986-09";"1TGT";"0"
"1986-09";"EG3M";
"1986-10";"SARON";
"1986-10";"1TGT";"0.25"
"1986-10";"EG3M";
"1986-11";"SARON";
"1986-11";"1TGT";"0.5"
"1986-11";"EG3M";
"1986-12";"SARON";
"1986-12";"1TGT";"2.5"
"1986-12";"EG3M";
"1987-01";"SARON";
"1987-01";"1TGT";"2.5"
"1987-01";"EG3M";
"1987-02";"SARON";
"1987-02";"1TGT";"2.875"
"1987-02";"EG3M";
"1987-03";"SARON";
"1987-03";"1TGT";"0.875"
"1987-03";"EG3M";
"1987-04";"SARON";
"1987-04";"1TGT";"2"
"1987-04";"EG3M";
"1987-05";"SARON";
"1987-05";"1TGT";"1.5625"
"1987-05";"EG3M";
"1987-06";"SARON";
"1987-06";"1TGT";"2.8125"
"1987-06";"EG3M";
"1987-07";"SARON";
"1987-07";"1TGT";"2.3125"
"1987-07";"EG3M";
"1987-08";"SARON";
