Date,SARON,SOFR,LogDifferenceCHFUSD
2020-08-26,-0.705097,0.07,0.00033012379942186365
2020-08-27,-0.705364,0.07,0.000991025792721409
2020-08-28,-0.705808,0.07,0.003973953789260687
2020-08-29,-0.7057646666666667,0.07666666666666667,0.001069775264794376
2020-08-30,-0.7057213333333333,0.08333333333333333,0.0010709209096035344
2020-08-31,-0.705678,0.09,0.0010720690108335096
2020-09-01,-0.705677,0.09,-0.006635724415398336
2020-09-02,-0.706309,0.09,-0.003850601600285039
2020-09-03,-0.70615,0.1,0.00032947120170626065
2020-09-04,-0.706234,0.09,-0.004712079290252302
2020-09-05,-0.706146,0.09,-0.0005191611565476401
2020-09-06,-0.706058,0.09,-0.0005188917680910704
2020-09-07,-0.70597,0.09,-0.0005186226590566112
2020-09-08,-0.706059,0.09,-0.0005183538290096101
2020-09-09,-0.70611,0.09,0.00382576845272925
2020-09-10,-0.707938,0.09,0.005931476089712992
2020-09-11,-0.70824,0.09,-0.0016511644458067215
2020-09-12,-0.7081943333333334,0.09,0.0007702041421624728
2020-09-13,-0.7081486666666666,0.09,0.0007707978138603855
2020-09-14,-0.708103,0.09,0.0007713924014669804
2020-09-15,-0.708334,0.1,-0.0015421902153273659
2020-09-16,-0.709167,0.1,0.0005505092349323698
2020-09-17,-0.709867,0.1,-0.0019804165346103686
2020-09-18,-0.709777,0.09,0.00021985269957743026
2020-09-19,-0.710228,0.08666666666666667,-0.0024522823994444637
2020-09-20,-0.7106790000000001,0.08333333333333333,-0.0024462834186742277
2020-09-21,-0.71113,0.08,-0.0024403137167224725
2020-09-22,-0.710367,0.07,-0.004029848071918571
2020-09-23,-0.710467,0.06,-0.003580538735496075
2020-09-24,-0.711705,0.07,-0.0033518980401487514
2020-09-25,-0.711368,0.08,-0.0029102688285359557
2020-09-26,-0.7115726666666666,0.08,0.0015798358820713065
2020-09-27,-0.7117773333333334,0.08,0.001582335713329247
2020-09-28,-0.711982,0.08,0.0015848434682733253
2020-09-29,-0.715261,0.07,0.003466583473714896
2020-09-30,-0.713707,0.08,0.0029343062949350185
2020-10-01,-0.715082,0.08,0.0009800185898976993
2020-10-02,-0.714667,0.1,-0.0027199059361654454
2020-10-03,-0.715039,0.09666666666666666,0.001848730883790145
2020-10-04,-0.715411,0.09333333333333334,0.0018521550209557452
2020-10-05,-0.715783,0.09,0.0018555918657313097
2020-10-06,-0.713573,0.1,0.0
2020-10-07,-0.715596,0.09,-0.0016374655697415086
2020-10-08,-0.715437,0.08,-0.0008722198546858156
2020-10-09,-0.715144,0.09,0.007987350303917756
2020-10-10,-0.7157036666666666,0.09,-0.0012076633185390262
2020-10-11,-0.7162633333333334,0.09,-0.0012062066268644367
2020-10-12,-0.716823,0.09,-0.0012047534450991687
2020-10-13,-0.716992,0.09,-0.001203303760573024
2020-10-14,-0.716302,0.09,0.0021889031394873165
2020-10-15,-0.717193,0.1,-0.001751505647549334
2020-10-16,-0.717249,0.09,-0.001093135220352759
2020-10-17,-0.7172923333333333,0.09,0.0022239650415541573
2020-10-18,-0.7173356666666667,0.09,0.002228922088406693
2020-10-19,-0.717379,0.09,0.002233901282384515
2020-10-20,-0.717086,0.08,0.0023123943574898387
2020-10-21,-0.717885,0.07,0.0032021227603936803
2020-10-22,-0.717618,0.07,-0.0035327923693587726
2020-10-23,-0.717924,0.08,0.0020960899063954264
2020-10-24,-0.7176976666666667,0.08333333333333333,-0.0006623979045468492
2020-10-25,-0.7174713333333333,0.08666666666666667,-0.000661959423995398
2020-10-26,-0.717245,0.09,-0.0006615215235730165
2020-10-27,-0.717736,0.09,0.0007718176688343847
2020-10-28,-0.71722,0.08,-0.0034135363212671327
2020-10-29,-0.717541,0.09,-0.00810164273688252
2020-10-30,-0.718044,0.09,0.000654450285138844
2020-10-31,-0.7178646666666667,0.09666666666666666,-0.0012721491947378233
2020-11-01,-0.7176853333333333,0.10333333333333333,-0.0012705328871311233
2020-11-02,-0.717506,0.11,-0.0012689206814573695
2020-11-03,-0.717692,0.1,0.00807600154978387
2020-11-04,-0.717309,0.1,0.002084133919529413
2020-11-05,-0.717198,0.11,0.0048431575130367666
2020-11-06,-0.719426,0.1,0.008532380424676439
2020-11-07,-0.7190706666666666,0.1,-0.00521672751973834
2020-11-08,-0.7187153333333334,0.1,-0.005189654445495281
2020-11-09,-0.71836,0.1,-0.005162860921538309
2020-11-10,-0.720243,0.1,-0.0009855993789142925
2020-11-11,-0.720792,0.095,0.0
2020-11-12,-0.720711,0.09,0.0
2020-11-13,-0.720791,0.09,0.00032842520411258125
2020-11-14,-0.7206086666666667,0.09333333333333334,0.00043806812659813454
2020-11-15,-0.7204263333333333,0.09666666666666666,0.0004382601143884529
2020-11-16,-0.720244,0.1,0.00043845227053380953
2020-11-17,-0.720787,0.09,0.0013165114353486523
2020-11-18,-0.721192,0.07,0.0014281793144378385
2020-11-19,-0.720818,0.06,-0.002525392503293575
2020-11-20,-0.720972,0.05,0.0001096671602787147
2020-11-21,-0.721036,0.05,-0.0004751375247004641
2020-11-22,-0.7211,0.05,-0.00047491187624286446
2020-11-23,-0.721164,0.05,-0.0004746864420099861
2020-11-24,-0.720589,0.07,0.001095770436181684
2020-11-25,-0.720896,0.08,0.003404539008634036
2020-11-26,-0.720521,0.08,0.0006602839460753823
2020-11-27,-0.721195,0.08,0.0006607202090380265
2020-11-28,-0.7211613333333333,0.08333333333333333,0.0006611570488776336
2020-11-29,-0.7211276666666667,0.08666666666666667,0.0006615944667388018
2020-11-30,-0.721094,0.09,0.0006620324637694741
2020-12-01,-0.721448,0.08,0.0060891414269688
2020-12-02,-0.721067,0.08,0.004898150725836867
2020-12-03,-0.720705,0.08,0.006156621002571805
2020-12-04,-0.72137,0.09,-0.00022454249561065787
2020-12-05,-0.7213656666666667,0.08666666666666667,0.0005988920676085613
2020-12-06,-0.7213613333333333,0.08333333333333333,0.0005992509542622204
2020-12-07,-0.721357,0.08,0.0005996102713003021
2020-12-08,-0.721494,0.07,0.0006749915882335589
2020-12-09,-0.721267,0.08,-0.0016866254630777539
2020-12-10,-0.721681,0.08,0.002587323564950922
2020-12-11,-0.722122,0.08,-0.0026996641818191336
2020-12-12,-0.721981,0.08,0.0011239744917124067
2020-12-13,-0.72184,0.08,0.0011252392320397625
2020-12-14,-0.721699,0.08,0.0011265068218444807
2020-12-15,-0.72128,0.09,0.0014663586181705573
2020-12-16,-0.721602,0.09,-0.000225733635270009
2020-12-17,-0.722078,0.09,0.0022596326414980467
2020-12-18,-0.722992,0.09,-0.001017466596170774
2020-12-19,-0.7225593333333333,0.09,-0.0003389256090738507
2020-12-20,-0.7221266666666666,0.09,-0.0003388107774237731
2020-12-21,-0.721694,0.09,-0.0003386960235596398
2020-12-22,-0.722921,0.07,-0.0033806658296426095
2020-12-23,-0.72283,0.06,0.0007878003896275715
2020-12-24,-0.722182,0.08,-0.000360214331419903
2020-12-25,-0.72217025,0.0825,-0.0003600846237764438
2020-12-26,-0.7221584999999999,0.08499999999999999,-0.00035995500951098436
2020-12-27,-0.72214675,0.0875,-0.00035982548852214746
2020-12-28,-0.722135,0.09,-0.0003596960607100963
2020-12-29,-0.72135,0.1,0.006765925675301723
2020-12-30,-0.719763,0.09,0.0006791171738088075
2020-12-31,-0.726264,0.07,-0.0010185028889278802
2021-01-01,-0.7261642500000001,0.07750000000000001,0.0008486803530693421
2021-01-02,-0.7260645,0.085,0.0008494012232424658
2021-01-03,-0.7259647499999999,0.0925,0.0008501233190732482
2021-01-04,-0.725865,0.1,0.0008508466436895068
2021-01-05,-0.724515,0.11,0.003069056117418034
2021-01-06,-0.725798,0.1,-0.0029555551809134217
2021-01-07,-0.723893,0.1,-0.0035125524755791754
2021-01-08,-0.723406,0.09,-0.00022619316993076344
2021-01-09,-0.7235563333333334,0.09,-0.0020334394715672832
2021-01-10,-0.7237066666666666,0.09,-0.0020293129850244562
2021-01-11,-0.723857,0.09,-0.0020252032124404434
2021-01-12,-0.725365,0.08,0.0005621451606801081
2021-01-13,-0.724834,0.08,0.0020263431452323954
2021-01-14,-0.725108,0.08,0.0004508566352296045
2021-01-15,-0.724917,0.08,-0.0027020957670164797
2021-01-16,-0.7250636666666667,0.0775,0.00016866724803152322
2021-01-17,-0.7252103333333334,0.07500000000000001,0.00016869570147114155
2021-01-18,-0.725357,0.07250000000000001,0.00016872416451260697
2021-01-19,-0.724997,0.07,0.00016875263716051303
2021-01-20,-0.725047,0.06,0.0010131142871390303
2021-01-21,-0.725562,0.04,0.0010141417287016646
2021-01-22,-0.725711,0.05,0.0019184116925762135
2021-01-23,-0.7255196666666667,0.05333333333333334,-0.0010913128823138163
2021-01-24,-0.7253283333333334,0.056666666666666664,-0.0010901232166860148
2021-01-25,-0.725137,0.06,-0.0010889361419986199
2021-01-26,-0.72488,0.03,0.00022519986583176277
2021-01-27,-0.725359,0.03,-0.0011254925217345224
2021-01-28,-0.725297,0.04,0.0003375147694749947
2021-01-29,-0.725018,0.06,-0.0020233819852867735
2021-01-30,-0.7251986666666667,0.06333333333333334,-0.0022434109240778016
2021-01-31,-0.7253793333333334,0.06666666666666667,-0.0022383892949796452
2021-02-01,-0.72556,0.07,-0.0022333900964137954
2021-02-02,-0.725884,0.07,-0.002450981619140244
2021-02-03,-0.725384,0.07,-0.0006674082561419908
2021-02-04,-0.725535,0.05,-0.004216606336283346
2021-02-05,-0.724778,0.02,0.0038830691715925764
2021-02-06,-0.724839,0.02,0.0003706037176910426
2021-02-07,-0.7249,0.02,0.0003707411157282958
2021-02-08,-0.724961,0.02,0.00037087861568167735
2021-02-09,-0.725086,0.05,0.00625141575956048
2021-02-10,-0.725023,0.06,0.004376865749405712
2021-02-11,-0.72494,0.06,-0.0017979553107305285
2021-02-12,-0.725057,0.05,-0.0004489841808502232
2021-02-13,-0.7251676666666667,0.052500000000000005,-0.00033660589378126105
2021-02-14,-0.7252783333333332,0.055,-0.00033649262837820437
2021-02-15,-0.725389,0.057499999999999996,-0.000336379439175874
2021-02-16,-0.724977,0.06,-0.00033626632609617957
2021-02-17,-0.724798,0.06,-0.006924307317507969
2021-02-18,-0.725326,0.03,0.0018938344656634354
